title,memory,price,date
NVIDIA GeForce GT 730 (64 bits DDR3), 4 GB GDDR3 (64 bit),99990,28-4-2022
NVIDIA GeForce GT 730 (128 bits DDR3), 4 GB DDR3 (128 bit),132900,28-4-2022
NVIDIA GeForce GTX 1050 Ti, 4 GB GDDR5 (128 bit),220000,28-4-2022
NVIDIA GeForce GTX 1050 Ti, 4 GB GDDR5 (128 bit),229236,28-4-2022
NVIDIA GeForce GTX 1050 Ti, 4 GB GDDR5 (128 bit),229990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),231790,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),238900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),239600,28-4-2022
NVIDIA GeForce GTX 1050 Ti, 4 GB GDDR5 (128 bit),239800,28-4-2022
AMD Radeon RX 6400, 4 GB GDDR6 (64 bit),239900,28-4-2022
NVIDIA GeForce GTX 1050 Ti, 4 GB GDDR5 (128 bit),239990,28-4-2022
AMD Radeon RX 560, 4 GB GDDR5 (128 bit),249900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),259900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),259980,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),260900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),260900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),265900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),268565,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),269952,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),269990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),269990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),270900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),277248,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),278810,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),279000,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),279000,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),279900,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),279900,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),279990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),281358,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),284990,28-4-2022
NVIDIA GeForce GTX 1650 Super, 4 GB GDDR6 (128 bit),289000,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),289990,28-4-2022
NVIDIA GeForce GTX 1650 Super, 4 GB GDDR6 (128 bit),289990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),293990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),294002,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),299900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),299990,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),299990,28-4-2022
AMD Radeon RX 6500 XT, 4 GB GDDR6 (64 bit),299990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),319000,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),348970,28-4-2022
NVIDIA GeForce GTX 1660, 6 GB GDDR5 (192 bit),348980,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),349900,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),349990,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),349990,28-4-2022
NVIDIA GeForce GTX 1660, 6 GB GDDR5 (192 bit),358900,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),359000,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),360540,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),361900,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),369000,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),371900,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),379000,28-4-2022
NVIDIA GeForce GTX 1660, 6 GB GDDR5 (192 bit),389990,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),389900,28-4-2022
NVIDIA GeForce GTX 1650 Super, 4 GB GDDR6 (128 bit),389900,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),389950,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),389990,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),396900,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),397752,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR5), 4 GB GDDR5 (128 bit),399000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),399000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),399000,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),399900,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),399900,28-4-2022
NVIDIA GeForce GTX 1650 (GDDR6), 4 GB GDDR6 (128 bit),399900,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),415264,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),419990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),422990,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),421990,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),432113,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),434890,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),439990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),444900,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),445000,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),447983,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),449900,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),449900,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),449990,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),449990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),449990,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),459000,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),459990,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),459990,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),459990,28-4-2022
NVIDIA GeForce GTX 1660 Ti, 6 GB GDDR6 (192 bit),459990,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),460000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),468490,28-4-2022
NVIDIA Quadro T1000, 4 GB GDDR6 (128 bit),469000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),469000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),469900,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),484990,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),480210,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),484000,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),487899,28-4-2022
NVIDIA GeForce RTX 2060, 12 GB GDDR6 (192 bit),489000,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),494900,28-4-2022
NVIDIA GeForce RTX 2060, 12 GB GDDR6 (192 bit),494990,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),499000,28-4-2022
NVIDIA GeForce RTX 2060, 12 GB GDDR6 (192 bit),499651,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),499990,28-4-2022
AMD Radeon RX 6600, 8 GB GDDR6 (128 bit),499990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),499990,28-4-2022
NVIDIA GeForce GTX 1660 Super, 6 GB GDDR6 (192 bit),499990,28-4-2022
NVIDIA GeForce RTX 2060, 12 GB GDDR6 (192 bit),499990,28-4-2022
NVIDIA GeForce RTX 2060, 6 GB GDDR6 (192 bit),503500,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),509000,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),514990,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),519000,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),519000,28-4-2022
AMD Radeon RX 6600 XT, 8 GB GDDR6 (128 bit),519980,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),519990,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),519990,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),523990,28-4-2022
AMD Radeon RX 6600 XT, 8 GB GDDR6 (128 bit),524990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),525900,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),527900,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),529990,28-4-2022
NVIDIA GeForce RTX 3050, 8 GB GDDR6 (128 bit),529990,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),534990,28-4-2022
NVIDIA GeForce RTX 2060, 12 GB GDDR6 (192 bit),537490,28-4-2022
NVIDIA GeForce RTX 3060, 12 GB GDDR6 (192 bit),537900,28-4-2022
